        U_ele_1        band_gap       delta_gap      delta_band        obj_func           d_obj
         0.0000          0.1588          0.7232          0.4483         -0.3620             nan
        -9.9920          1.4921          0.6101          1.1684         -0.8687          0.5067
        -0.2610          0.2052          0.6768          0.4671         -0.3381          0.5306
        10.0000          0.0000          0.8820          0.6531         -0.6022          0.2642
        -4.3011          0.8104          0.0716          0.7752         -0.3030          0.2992
         5.2974          0.0000          0.8820          0.2779         -0.4275          0.1245
        -2.5366          0.5778          0.3042          0.6437         -0.2534          0.1741
         3.1311          0.0000          0.8820          0.2685         -0.4250          0.1716
        -6.4327          1.0782          0.1962          0.9289         -0.4507          0.0257
         7.4760          0.0000          0.8820          0.4225         -0.4782          0.0275
        -1.6774          0.4525          0.4294          0.5774         -0.2589          0.2193
        -3.2769          0.6765          0.2055          0.6992         -0.2655          0.0066
        -2.1435          0.5247          0.3572          0.6141         -0.2524          0.0132
        -2.3093          0.5472          0.3348          0.6266         -0.2523      1.8500e-05
