        U_ele_1         U_ele_2        band_gap       delta_gap      delta_band        obj_func           d_obj
         0.0000          0.0000          0.0000          0.3810          0.2572         -0.0859             nan
         7.5623         -9.4522          0.0928          0.2882          0.3623         -0.1192          0.0333
         0.1559         -0.2198          0.0000          0.3810          0.2557         -0.0853          0.0339
        -7.9703         -6.5369          0.5180          0.1370          0.3940         -0.1211          0.0358
         7.0229          4.0867          0.0000          0.3810          0.3570         -0.1319          0.0108
        -7.0423          6.2422          0.0000          0.3810          0.3806         -0.1450          0.0131
        -0.1480         -6.8052          0.2010          0.1800          0.3041         -0.0775          0.0675
         1.4301         10.0000          0.0000          0.3810          0.5148         -0.2351          0.1576
        10.0000         -2.4639          0.0000          0.3810          0.3223         -0.1142          0.1209
       -10.0000          0.0626          0.0423          0.3387          0.3099         -0.1007          0.0135
        -3.0636        -10.0000          0.5580          0.1771          0.3919         -0.1230          0.0223
        -4.1545         -2.2891          0.0553          0.3256          0.2632         -0.0785          0.0446
         9.9449          9.8781          0.0000          0.3810          0.4960         -0.2208          0.1424
         4.5105         -4.6383          0.0000          0.3810          0.2943         -0.1012          0.1196
       -10.0000         10.0000          0.0000          0.3810          0.5312         -0.2479          0.1467
         2.7284         -9.9700          0.2850          0.0959          0.3518         -0.0951          0.1528
        -5.5382          1.4849          0.0000          0.3810          0.2814         -0.0957          0.0005
       -10.0000        -10.0000          0.8015          0.4205          0.4711         -0.2107          0.1150
         5.0042          0.1152          0.0000          0.3810          0.2787         -0.0945          0.1162
        -3.2903         -5.4305          0.2575          0.1234          0.3142         -0.0778          0.0167
        10.0000          1.7074          0.0000          0.3810          0.3302         -0.1180          0.0402
        -7.4743         -2.5935          0.2034          0.1775          0.3390         -0.0941          0.0240
        -0.8559         -3.7733          0.0000          0.3810          0.2585         -0.0864          0.0077
         2.2078          2.7673          0.0000          0.3810          0.2996         -0.1036          0.0172
       -10.0000          3.4534          0.0000          0.3810          0.3350         -0.1204          0.0169
        10.0000         -7.0496          0.0000          0.3810          0.3713         -0.1397          0.0192
         2.5187         -7.2247          0.1138          0.2672          0.3106         -0.0902          0.0495
        -2.3997          3.7544          0.0000          0.3810          0.3084         -0.1076          0.0174
        -5.0911         -4.2833          0.2526          0.1284          0.3162         -0.0791          0.0285
         0.0784         -8.8605          0.3288          0.0522          0.3386         -0.0867          0.0076
         2.6226         -2.1383          0.0000          0.3810          0.2576         -0.0860          0.0006
        -2.9166         -0.3139          0.0000          0.3810          0.2480         -0.0824          0.0036
        -1.9302         -7.0702          0.3072          0.0738          0.3272         -0.0817          0.0007
        -3.3094         -3.7228          0.1295          0.2515          0.2816         -0.0753          0.0064
       -10.0000         -3.5490          0.3415          0.0395          0.3595         -0.0973          0.0220
         2.4458          0.0505          0.0000          0.3810          0.2627         -0.0880          0.0093
        -2.4789         -1.9581          0.0000          0.3810          0.2502         -0.0832          0.0048
         1.4084         -5.0326          0.0000          0.3810          0.2720         -0.0918          0.0085
         6.8677         -1.9414          0.0000          0.3810          0.2955         -0.1018          0.0100
        -1.6381         -5.5634          0.1854          0.1956          0.2982         -0.0762          0.0255
        -4.1490         -3.7763          0.1729          0.2081          0.2913         -0.0745          0.0018
        -3.4565         -4.4771          0.1944          0.1866          0.2983         -0.0755          0.0010
        -4.9432         -3.2394          0.1653          0.2156          0.2932         -0.0761          0.0006
        -2.4663         -4.8448          0.1737          0.2073          0.2947         -0.0759          0.0002
        -4.0700         -3.2815          0.1306          0.2504          0.2806         -0.0747          0.0012
        -1.0071         -6.3722          0.2122          0.1688          0.3045         -0.0767          0.0019
        -3.8284         -3.7445          0.1557          0.2252          0.2877         -0.0748          0.0019
        -3.0040          1.5470          0.0000          0.3810          0.2658         -0.0893          0.0145
        -4.5238         -3.4328          0.1627          0.2183          0.2896         -0.0748          0.0145
        10.0000        -10.0000          0.0638          0.3172          0.3977         -0.1438          0.0690
        -2.2365         -5.7515          0.2290          0.1520          0.3093         -0.0775          0.0663
        -5.4984         -0.9426          0.0000          0.3810          0.2672         -0.0898          0.0123
        -0.5223         -5.7361          0.1429          0.2380          0.2901         -0.0773          0.0126
        -4.2070         -3.5820          0.1603          0.2206          0.2881         -0.0744          0.0028
        -4.2070         -3.5820          0.1603          0.2206          0.2881         -0.0744          0.0000
        -4.1942         -3.6136          0.1622          0.2187          0.2888             nan             nan
